event_region,method,n_trials,n_events,median_density,median_class_accuracy,median_rmse,median_class_mae
Chubu-Hokuriku,gmpe_raw,210,7,0.0,0.43533279055027063,0.7414138618714845,0.6089822697805203
Chubu-Hokuriku,gmpe_calibrated,40,6,60.97908518137291,0.6157830188679245,0.4879053439107016,0.40549006588251524
Chubu-Hokuriku,idw,40,6,60.97908518137291,0.6966981132075472,0.34945821331114796,0.30899371069182385
Chubu-Hokuriku,kriging,40,6,60.97908518137291,0.7036129032258065,0.35421851892145007,0.30363779302458543
Chubu-Hokuriku,gmpe_kriging,40,6,60.97908518137291,0.7034150943396227,0.35385770792001453,0.30448226950354607
Hokkaido,gmpe_raw,30,1,0.0,0.5035650623885919,0.606345905807854,0.557786190634096
Kanto,gmpe_raw,30,1,0.0,0.31543827013410086,0.9093394306848765,0.7882690900395852
Kanto,gmpe_calibrated,5,1,51.37151354439803,0.5842105263157895,0.5108762783095404,0.4526315789473684
Kanto,idw,5,1,51.37151354439803,0.7105263157894737,0.3369336402291465,0.2894736842105263
Kanto,kriging,5,1,51.37151354439803,0.7105263157894737,0.3314007132597505,0.2947368421052631
Kanto,gmpe_kriging,5,1,51.37151354439803,0.7105263157894737,0.3307623911478861,0.2947368421052631
Kinki-Chugoku-Shikoku,gmpe_raw,60,2,0.0,0.4454860619782085,0.7538439252974001,0.6364668461442655
Kyushu,gmpe_raw,120,4,0.0,0.4134494103534351,0.8099832356822866,0.6389783110590836
Kyushu,gmpe_calibrated,15,3,57.434413531041166,0.6111111111111112,0.5016573011518246,0.4222222222222222
Kyushu,idw,15,3,57.434413531041166,0.6611111111111111,0.3861261790562232,0.3478260869565217
Kyushu,kriging,15,3,57.434413531041166,0.6521739130434783,0.3958076831654964,0.3478260869565217
Kyushu,gmpe_kriging,15,3,57.434413531041166,0.6521739130434783,0.3938050543607519,0.3478260869565217
Tohoku,gmpe_raw,210,7,0.0,0.5239666620715008,0.6169664360355307,0.5482320099255583
Tohoku,gmpe_calibrated,30,6,55.980271588726595,0.5768649954696466,0.5643000024076817,0.4761904761904761
Tohoku,idw,30,6,55.980271588726595,0.7127413127413127,0.34830808775513245,0.29382843390063607
Tohoku,kriging,30,6,55.980271588726595,0.7124450031426776,0.35312917038811503,0.2951362840710178
Tohoku,gmpe_kriging,30,6,55.980271588726595,0.7101927508904253,0.3535806020739093,0.2951362840710178
