station_region,method,density_bin_simple,n_trial_regions,n_predictions,median_class_accuracy,median_rmse,median_mae,median_class_mae,raw_class_accuracy,raw_rmse,raw_class_mae,accuracy_gain_points_vs_raw,rmse_reduction_fraction_vs_raw
Chubu-Hokuriku,gmpe_calibrated,50-75,80,5860,0.5759477459016393,0.5352100616200033,0.42335545652801454,0.4735248447204969,0.43150396887977716,0.7253601871903614,0.6017306078111885,0.14444377702186217,0.2621457986368029
Chubu-Hokuriku,gmpe_kriging,50-75,80,5860,0.7071078431372549,0.36442397071193067,0.2796739428779013,0.29754098360655734,0.43150396887977716,0.7253601871903614,0.6017306078111885,0.2756038742574778,0.4975958466599818
Chubu-Hokuriku,gmpe_raw,0,560,137759,0.43150396887977716,0.7253601871903614,0.6182506404448849,0.6017306078111885,0.43150396887977716,0.7253601871903614,0.6017306078111885,0.0,0.0
Chubu-Hokuriku,idw,50-75,80,5860,0.7024590163934425,0.3613341320176384,0.27866341860348176,0.30444110705857114,0.43150396887977716,0.7253601871903614,0.6017306078111885,0.2709550475136654,0.5018555768586581
Chubu-Hokuriku,kriging,50-75,80,5860,0.7071078431372549,0.36274333406441256,0.28000124122200587,0.29754098360655734,0.43150396887977716,0.7253601871903614,0.6017306078111885,0.2756038742574778,0.49991281508090923
Hokkaido,gmpe_calibrated,50-75,35,657,0.5,0.6456837687927411,0.5296427434317921,0.5428571428571428,0.5329268292682927,0.6287329081444808,0.5030932310697875,-0.03292682926829271,-0.026960352207880733
Hokkaido,gmpe_kriging,50-75,35,657,0.6944444444444444,0.37317779723521183,0.2993538113592469,0.3076923076923077,0.5329268292682927,0.6287329081444808,0.5030932310697875,0.1615176151761517,0.40646052973982905
Hokkaido,gmpe_raw,0,282,27350,0.5329268292682927,0.6287329081444808,0.5010583890908142,0.5030932310697875,0.5329268292682927,0.6287329081444808,0.5030932310697875,0.0,0.0
Hokkaido,idw,50-75,35,657,0.6666666666666666,0.36030317745976304,0.3040708663870563,0.3333333333333333,0.5329268292682927,0.6287329081444808,0.5030932310697875,0.13373983739837392,0.4269376188323094
Hokkaido,kriging,50-75,35,657,0.6956521739130435,0.37214935076300076,0.3025169249228257,0.3055555555555556,0.5329268292682927,0.6287329081444808,0.5030932310697875,0.16272534464475075,0.40809627436030116
