method,scope,label,n_predictions,median_density_per_10000km2,median_train_nn_km,bias,mae,rmse,exact_class_accuracy,within_one_class,underprediction_rate,overprediction_rate,n_predictions_i_ge_5lower,exact_class_accuracy_i_ge_5lower,underprediction_rate_i_ge_5lower
gmpe_raw,zero,a  Simplified attenuation baseline,957780,0.0,,0.45419962060984126,0.6277737044761756,0.7694830155295442,0.443584121614567,0.9245578316523627,0.10108897659170164,0.45532690179373136,54060,0.2341657417684055,0.48466518682944876
idw,high_density,b  IDW,32310,55.71003265503347,4.373829142097918,-1.0193281786124837e-05,0.2691116022091711,0.35520030583649026,0.7209532652429589,0.9936242649334571,0.163107397090684,0.11593933766635717,1666,0.460984393757503,0.4417767106842737
kriging,high_density,c  Smoothing kriging,32310,55.71003265503347,4.373829142097918,-0.0022259046805862674,0.2735786562032409,0.36211739886958083,0.7149179820489012,0.9930362116991643,0.16818322500773755,0.11689879294336118,1666,0.4531812725090036,0.43577430972388953
gmpe_kriging,high_density,d  Attenuation-residual kriging,32310,55.71003265503347,4.373829142097918,-0.002562008602659402,0.27356245807891283,0.3621665660455501,0.715041782729805,0.9930671618693903,0.16858557722067471,0.11637264004952028,1666,0.4561824729891957,0.44057623049219685
