event_id,origin_time,year,magnitude,depth_km,method,rmse,mae,class_accuracy,class_within_1,class_mae,effective_density,n_station_all
i1995_000072,1995-01-17 05:46:51.86,1995,7.3,16.06,gmpe_calibrated,0.6066875710857111,0.49931733783882604,0.5444528875379939,0.9285714285714286,0.5338145896656534,1.4012860885651315,93
i1995_000072,1995-01-17 05:46:51.86,1995,7.3,16.06,gmpe_kriging,0.6264378202392544,0.493642137733841,0.5729483282674772,0.918918918918919,0.5212765957446808,1.4012860885651315,93
i1995_000072,1995-01-17 05:46:51.86,1995,7.3,16.06,gmpe_raw,0.7681881839121532,0.6182840737788746,0.4642857142857143,0.9166666666666666,0.6618503118503118,0.0,93
i1995_000072,1995-01-17 05:46:51.86,1995,7.3,16.06,idw,0.6199765996485711,0.48348725451418695,0.5951696377228293,0.9177927927927928,0.5127091377091377,1.4012860885651315,93
i1995_000072,1995-01-17 05:46:51.86,1995,7.3,16.06,kriging,0.6331084951530206,0.49213756049523866,0.5714285714285714,0.9166666666666666,0.5357142857142857,1.4012860885651315,93
i2000_016257,2000-10-06 13:30:17.94,2000,7.3,8.96,gmpe_calibrated,0.49837283813809236,0.3967685185042026,0.5998256320836965,0.9792337051984398,0.42274396847302964,20.251799485274713,1274
i2000_016257,2000-10-06 13:30:17.94,2000,7.3,8.96,gmpe_kriging,0.42589482424905667,0.32273018467339215,0.6579212747534335,0.9904953061635089,0.3526180737903992,20.251799485274713,1274
i2000_016257,2000-10-06 13:30:17.94,2000,7.3,8.96,gmpe_raw,0.7528912480054968,0.6336479959020407,0.4349487034915506,0.9362271826288895,0.633954857703631,0.0,1274
i2000_016257,2000-10-06 13:30:17.94,2000,7.3,8.96,idw,0.4099061497410213,0.31365062261040166,0.6644782949251762,0.9902981109572011,0.34925550663056376,20.251799485274713,1274
i2000_016257,2000-10-06 13:30:17.94,2000,7.3,8.96,kriging,0.42419155495702965,0.32161987931402747,0.6611358628122661,0.9904953061635089,0.349484895956769,20.251799485274713,1274
i2003_000949,2003-07-26 07:13:31.52,2003,6.4,11.87,gmpe_calibrated,0.5048705292490336,0.3959419323122902,0.59601506740682,0.9762479172452097,0.4318422996493929,17.354437486277643,693
i2003_000949,2003-07-26 07:13:31.52,2003,6.4,11.87,gmpe_kriging,0.387867323559835,0.29729775865711294,0.7048196806728944,0.9940253721144421,0.30407346756485165,17.354437486277643,693
i2003_000949,2003-07-26 07:13:31.52,2003,6.4,11.87,gmpe_raw,0.595268049545017,0.48823482446098043,0.5400641025641025,0.9836298336372771,0.4771112040133779,0.0,693
i2003_000949,2003-07-26 07:13:31.52,2003,6.4,11.87,idw,0.388225960890793,0.29292944132548054,0.6949458483754513,0.9942363112391932,0.30941333139129623,17.354437486277643,693
i2003_000949,2003-07-26 07:13:31.52,2003,6.4,11.87,kriging,0.38754708113554437,0.29675529718616,0.702721411806649,0.9942363112391932,0.30616735504946985,17.354437486277643,693
