method,rmse,mae,within_0p50,class_accuracy,class_within_1,class_over_rate,class_under_rate,class_mae
gmpe_raw,0.7283561323562148,0.6095377585600373,0.44985026584537036,0.45524260837441555,0.9424778761061948,0.4774193548387097,0.0615020912893253,0.6012908432919368
gmpe_calibrated,0.5127211532633682,0.4063405234388646,0.6831365528397546,0.5883635058208113,0.9757443477895444,0.1755574279438821,0.23766743821784575,0.4424316874892332
idw,0.38367594526145543,0.29162424332853953,0.8255622699475408,0.6804374698031637,0.991440274773669,0.13472747039399305,0.17973403341218966,0.32935279560881214
kriging,0.3899394664990883,0.2968711900184895,0.8191283292978209,0.6747869796496022,0.9908910381754972,0.13734715635750944,0.1835575491382444,0.33538100921491876
gmpe_kriging,0.3905390515255442,0.2973299033610321,0.8194436327982961,0.6742640692640692,0.9908703455710339,0.13766356762964127,0.1850393700787401,0.3364417654331295
