group,n_events,current_max_mean,current_max_median,counterfactual_max_mean,counterfactual_max_median,max_intensity_drop_mean,max_intensity_drop_median,max_intensity_drop_q75,share_drop_gt_0,share_drop_ge_0p5,share_drop_ge_1p0,share_class_drop_ge_1,current_station_count_median,counterfactual_matched_station_count_median,current_nearest_epicentral_distance_median_km,counterfactual_nearest_epicentral_distance_median_km
all_recent_I5upper_plus,85,5.423529411764706,5.2,4.398823529411764,4.5,1.024705882352941,0.9000000000000004,1.4000000000000004,0.8823529411764706,0.7176470588235294,0.43529411764705883,0.8352941176470589,690.0,87.0,6.972514377534342,18.57457733025284
support_current_ge100_and_cf_matched_ge20,78,5.4512820512820515,5.25,4.535897435897436,4.55,0.9153846153846151,0.9000000000000004,1.3000000000000003,0.8717948717948718,0.7051282051282052,0.3974358974358974,0.8205128205128205,802.5,93.0,7.3373394502707665,18.350038010269067
support_cf_matched_ge50,60,5.493333333333334,5.3,4.781666666666667,4.8,0.7116666666666666,0.6000000000000005,1.0999999999999996,0.85,0.6333333333333333,0.3,0.7833333333333333,958.5,109.5,8.601479821288063,19.5829408724845
current_max_6upper_plus,13,6.3076923076923075,6.3,5.676923076923076,5.8,0.6307692307692309,0.7000000000000002,1.0999999999999996,0.7692307692307693,0.5384615384615384,0.3076923076923077,0.6153846153846154,1499.0,148.0,10.479438576030523,20.64257974563097
current_max_5+,56,5.1482142857142845,5.1,4.110714285714286,4.35,1.0374999999999999,0.9000000000000004,1.55,0.875,0.7142857142857143,0.4107142857142857,0.8392857142857143,558.5,73.0,7.477102851824384,18.350038010269067
current_max_6-,16,5.66875,5.7,4.36875,4.45,1.3,1.0999999999999996,1.55,1.0,0.875,0.625,1.0,682.0,92.0,4.075505280875233,15.261331639811349
current_max_6+,9,6.177777777777777,6.1,5.588888888888889,5.8,0.588888888888889,0.2999999999999998,1.0999999999999996,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.5555555555555556,1499.0,148.0,13.618168623424664,23.4110947976683
current_max_7,4,6.6,6.6,5.875,5.8,0.7250000000000001,0.8000000000000003,1.0000000000000002,0.75,0.75,0.25,0.75,1310.5,145.0,6.687556986778271,13.80626885232386
