event_id,method,mode,n_station_used,n_grid_cells,min_estimated_surface_intensity,mean_estimated_surface_intensity,max_estimated_surface_intensity,trend_intercept,trend_log10_r_coef,trend_r100_coef,gmpe_bias,gmpe_intercept,gmpe_slope,gmpe_fault_type,gmpe_min_distance_km,scenario,scenario_label,region_lon_min,region_lon_max,region_lat_min,region_lat_max,map_grid_spacing_deg,grid_csv
i2018_000842,gmpe_raw,source_residual,465,9968,1.9127472620863406,3.027692854351282,5.601933866292324,,,,0.0,0.0,1.0,crustal,3.0,current_2018_observed,2018 observed network,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/current_2018_observed_estimated_intensity_gmpe_raw.csv
i2018_000842,idw,source_residual,465,9968,0.9999580514122326,2.568100809016597,5.759519151873268,8.556229266760695,-3.0554878482412384,-0.10482975733515706,,,,,,current_2018_observed,2018 observed network,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/current_2018_observed_estimated_intensity_idw.csv
i2018_000842,kriging,source_residual,465,9968,0.8820542986724393,2.558216760380632,5.820322534561095,8.556229266760695,-3.0554878482412384,-0.10482975733515706,,,,,,current_2018_observed,2018 observed network,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/current_2018_observed_estimated_intensity_kriging.csv
i2018_000842,gmpe_kriging,source_residual,465,9968,0.9376805751468971,2.572917566702986,5.820830228587248,,,,0.031181329609819564,-0.5135728658004481,1.042240868164513,crustal,3.0,current_2018_observed,2018 observed network,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/current_2018_observed_estimated_intensity_gmpe_kriging.csv
i2018_000842,gmpe_raw,source_residual,59,9968,1.9127472620863406,3.027692854351282,5.601933866292324,,,,0.0,0.0,1.0,crustal,3.0,counterfactual_1995_active,1995 active-site geometry,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/counterfactual_1995_active_estimated_intensity_gmpe_raw.csv
i2018_000842,idw,source_residual,59,9968,1.1964277564730574,2.5889979248857644,5.4498482069399845,7.55126330708383,-2.230374429334419,-0.6423577907932876,,,,,,counterfactual_1995_active,1995 active-site geometry,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/counterfactual_1995_active_estimated_intensity_idw.csv
i2018_000842,kriging,source_residual,59,9968,0.5914460051033026,2.5117477800956203,5.495942627824416,7.55126330708383,-2.230374429334419,-0.6423577907932876,,,,,,counterfactual_1995_active,1995 active-site geometry,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/counterfactual_1995_active_estimated_intensity_kriging.csv
i2018_000842,gmpe_kriging,source_residual,59,9968,0.9699085232728133,2.5653096489767235,5.5047630959786416,,,,0.1380854412901642,-0.18548431624655182,0.979737919942333,crustal,3.0,counterfactual_1995_active,1995 active-site geometry,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/counterfactual_1995_active_estimated_intensity_gmpe_kriging.csv
i2018_000842,gmpe_raw,source_residual,21,9968,1.9127472620863406,3.027692854351282,5.601933866292324,,,,0.0,0.0,1.0,crustal,3.0,strict_1995_code_overlap,Strict 1995 code overlap,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/strict_1995_code_overlap_estimated_intensity_gmpe_raw.csv
i2018_000842,idw,source_residual,21,9968,0.7060776360616654,2.457281559914461,5.598444834269705,6.6494460955940555,-1.5283788721653266,-1.342200635479487,,,,,,strict_1995_code_overlap,Strict 1995 code overlap,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/strict_1995_code_overlap_estimated_intensity_idw.csv
i2018_000842,kriging,source_residual,21,9968,0.4384504691266373,2.4181302200287687,5.520021697110989,6.6494460955940555,-1.5283788721653266,-1.342200635479487,,,,,,strict_1995_code_overlap,Strict 1995 code overlap,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/strict_1995_code_overlap_estimated_intensity_kriging.csv
i2018_000842,gmpe_kriging,source_residual,21,9968,1.1344457934051961,2.5106112900084177,5.546782592516999,,,,0.031817878069356986,-0.45868975510297627,1.0173652306508747,crustal,3.0,strict_1995_code_overlap,Strict 1995 code overlap,134.36292586163594,136.8804074716974,33.804268216212954,35.88439845045371,0.020000000000003126,outputs/csv/osaka_2018_network_counterfactual/strict_1995_code_overlap_estimated_intensity_gmpe_kriging.csv
