scenario,method,n_grid_cells,grid_total_area_km2,mean_estimated_surface_intensity,max_estimated_surface_intensity,area_ge_4p5_km2,area_ge_4p5_fraction,area_ge_5p0_km2,area_ge_5p0_fraction,area_ge_5p5_km2,area_ge_5p5_fraction,area_ge_6p0_km2,area_ge_6p0_fraction,area_ge_6p5_km2,area_ge_6p5_fraction
current_2018_observed,gmpe_raw,9968,40263.99411787272,3.027692854351282,5.601933866292324,1176.782278000555,0.029226665257190542,343.61993244320536,0.008534174017541803,28.289968880827765,0.0007026120855772274,0.0,0.0,0.0,0.0
current_2018_observed,idw,9968,40263.99411787272,2.568100809016597,5.759519151873268,1135.5355553625272,0.028202258127652473,404.15989211883016,0.010037749631485971,52.5424388061495,0.0013049485019377778,0.0,0.0,0.0,0.0
current_2018_observed,kriging,9968,40263.99411787272,2.558216760380632,5.820322534561095,1268.785278098707,0.031511659632781144,464.77533121190015,0.011543199858694392,60.62626768200148,0.0015057191669688376,0.0,0.0,0.0,0.0
current_2018_observed,gmpe_kriging,9968,40263.99411787272,2.572917566702986,5.820830228587248,1264.7527079274676,0.03141150637527186,464.77533121190015,0.011543199858694392,60.62626768200148,0.0015057191669688376,0.0,0.0,0.0,0.0
counterfactual_1995_active,gmpe_raw,9968,40263.99411787272,3.027692854351282,5.601933866292324,1176.782278000555,0.029226665257190542,343.61993244320536,0.008534174017541803,28.289968880827765,0.0007026120855772274,0.0,0.0,0.0,0.0
counterfactual_1995_active,idw,9968,40263.99411787272,2.5889979248857644,5.4498482069399845,893.4775568865555,0.02219048498444796,274.933487248608,0.006828271592821643,0.0,0.0,0.0,0.0,0.0,0.0
counterfactual_1995_active,kriging,9968,40263.99411787272,2.5117477800956203,5.495942627824416,824.6882333834094,0.020482027465261822,299.18696461046306,0.007430633029962059,0.0,0.0,0.0,0.0,0.0,0.0
counterfactual_1995_active,gmpe_kriging,9968,40263.99411787272,2.5653096489767235,5.5047630959786416,808.5422061780898,0.020081023353298855,283.02617910703174,0.007029262379645533,4.0414242665283355,0.00010037315857679392,0.0,0.0,0.0,0.0
strict_1995_code_overlap,gmpe_raw,9968,40263.99411787272,3.027692854351282,5.601933866292324,1176.782278000555,0.029226665257190542,343.61993244320536,0.008534174017541803,28.289968880827765,0.0007026120855772274,0.0,0.0,0.0,0.0
strict_1995_code_overlap,idw,9968,40263.99411787272,2.457281559914461,5.598444834269705,800.4895916626077,0.019881027930790395,157.6194278764987,0.003914649585311092,16.163733425671836,0.0004014438651653027,0.0,0.0,0.0,0.0
strict_1995_code_overlap,kriging,9968,40263.99411787272,2.4181302200287687,5.520021697110989,853.1074995039505,0.02118785078813793,137.42703089040407,0.0034131494875567206,4.0414242665283355,0.00010037315857679392,0.0,0.0,0.0,0.0
strict_1995_code_overlap,gmpe_kriging,9968,40263.99411787272,2.5106112900084177,5.546782592516999,792.4283578980301,0.019680818439874556,133.38365037008202,0.00331272774329347,8.082848533056671,0.00020074631715358784,0.0,0.0,0.0,0.0
