event_id,scenario,scenario_label,n_station_used,radius_km,density_per_10000km2,nearest_epicentral_distance_km,median_epicentral_distance_km,q90_epicentral_distance_km,max_observed_intensity,mean_observed_intensity,station_count_within_10km,station_count_within_20km,station_count_within_50km,station_count_within_100km,station_nn_median_km,station_nn_mean_km,station_nn_q90_km
i2018_000842,current_2018_observed,2018 observed network,465,100.0,148.01409707546267,0.77796011967895,56.01081476134957,92.06873252029376,5.6,3.32,11,54,206,465,3.5595395872169378,3.8683900536742146,7.526960007582011
i2018_000842,counterfactual_1995_active,1995 active-site geometry,59,100.0,18.78028328484365,0.77796011967895,57.263330053415835,88.28034311389736,5.3,3.4559322033898305,2,5,27,59,9.320119157024154,11.26740762438883,20.41398620891789
i2018_000842,strict_1995_code_overlap,Strict 1995 code overlap,21,100.0,6.684507609859605,0.77796011967895,69.88172571199634,88.3254678094208,5.4,3.195238095238095,1,1,7,21,19.939101423089177,21.502722296122297,29.23143952256495
